,code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,completion
23911,FFF,2013J,26247,M,South East Region,HE Qualification,80-90%,35-55,2,60,N,Fail,-47.0,,True
23912,FFF,2013J,29335,M,West Midlands Region,Lower Than A Level,40-50%,0-35,0,60,N,Distinction,-31.0,,True
23913,FFF,2013J,29769,M,East Midlands Region,A Level or Equivalent,40-50%,0-35,1,60,N,Fail,-32.0,,True
23914,FFF,2013J,32221,M,South Region,A Level or Equivalent,60-70%,0-35,0,60,N,Fail,-32.0,,True
23915,FFF,2013J,33600,F,London Region,A Level or Equivalent,40-50%,35-55,0,150,N,Withdrawn,-43.0,32.0,False
23916,FFF,2013J,34731,M,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Withdrawn,-38.0,136.0,False
23917,FFF,2013J,39882,F,Scotland,A Level or Equivalent,80-90%,0-35,0,120,N,Withdrawn,-32.0,-31.0,False
23918,FFF,2013J,42616,F,Scotland,Lower Than A Level,80-90%,35-55,0,60,N,Pass,-33.0,,True
23919,FFF,2013J,43958,M,Wales,A Level or Equivalent,90-100%,35-55,0,60,N,Withdrawn,-167.0,149.0,False
23920,FFF,2013J,47924,M,West Midlands Region,Lower Than A Level,0-10%,35-55,0,60,N,Fail,-142.0,,True
23921,FFF,2013J,49670,M,North Region,A Level or Equivalent,0-10%,0-35,0,60,N,Withdrawn,-54.0,6.0,False
23922,FFF,2013J,50487,F,East Anglian Region,Lower Than A Level,90-100%,0-35,1,60,N,Pass,-64.0,,True
23923,FFF,2013J,51485,M,West Midlands Region,Lower Than A Level,10-20,0-35,0,120,N,Distinction,-18.0,,True
23924,FFF,2013J,51576,F,London Region,Lower Than A Level,10-20,0-35,0,90,N,Distinction,-129.0,,True
23925,FFF,2013J,53166,F,North Region,Lower Than A Level,40-50%,0-35,0,60,N,Pass,-75.0,,True
23926,FFF,2013J,53626,M,Scotland,HE Qualification,30-40%,35-55,0,60,Y,Fail,-26.0,,True
23927,FFF,2013J,54739,M,Yorkshire Region,Lower Than A Level,,0-35,1,180,N,Withdrawn,-149.0,-26.0,False
23928,FFF,2013J,54882,M,Scotland,Lower Than A Level,30-40%,0-35,1,60,N,Fail,-130.0,,True
23929,FFF,2013J,55013,M,North Region,A Level or Equivalent,10-20,0-35,0,120,N,Fail,-54.0,,True
23930,FFF,2013J,55419,M,South Region,A Level or Equivalent,90-100%,0-35,0,90,N,Withdrawn,-39.0,124.0,False
23931,FFF,2013J,57844,M,South West Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,-59.0,,True
23932,FFF,2013J,58077,M,North Region,Lower Than A Level,20-30%,0-35,1,60,N,Fail,-92.0,,True
23933,FFF,2013J,58640,M,Scotland,A Level or Equivalent,50-60%,0-35,0,90,Y,Pass,-29.0,,True
23934,FFF,2013J,63295,M,South Region,HE Qualification,90-100%,35-55,0,150,N,Pass,-159.0,,True
23935,FFF,2013J,64388,M,East Midlands Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail,-150.0,,True
23936,FFF,2013J,66451,M,Scotland,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,-17.0,,True
23937,FFF,2013J,68107,F,London Region,A Level or Equivalent,50-60%,0-35,0,60,Y,Pass,-51.0,,True
23938,FFF,2013J,69346,M,London Region,A Level or Equivalent,30-40%,0-35,0,90,N,Withdrawn,-68.0,69.0,False
23939,FFF,2013J,70495,M,Scotland,Lower Than A Level,50-60%,0-35,0,60,N,Distinction,-100.0,,True
23940,FFF,2013J,71252,M,North Western Region,Lower Than A Level,0-10%,0-35,0,60,Y,Pass,-138.0,,True
23941,FFF,2013J,71897,M,South East Region,A Level or Equivalent,40-50%,0-35,0,120,N,Withdrawn,-145.0,24.0,False
23942,FFF,2013J,72864,F,Yorkshire Region,Lower Than A Level,10-20,35-55,2,60,N,Pass,-159.0,,True
23943,FFF,2013J,77744,M,North Western Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass,-44.0,,True
23944,FFF,2013J,77746,M,Wales,A Level or Equivalent,30-40%,0-35,0,60,N,Fail,-173.0,,True
23945,FFF,2013J,79261,M,South Region,A Level or Equivalent,90-100%,0-35,0,90,N,Pass,-29.0,,True
23946,FFF,2013J,81536,M,Scotland,Lower Than A Level,80-90%,35-55,1,60,N,Fail,-50.0,,True
23947,FFF,2013J,86669,M,East Midlands Region,A Level or Equivalent,40-50%,0-35,1,220,N,Pass,-39.0,,True
23948,FFF,2013J,87042,F,North Western Region,Lower Than A Level,0-10%,0-35,0,120,N,Withdrawn,-172.0,-122.0,False
23949,FFF,2013J,88781,M,South East Region,A Level or Equivalent,60-70%,0-35,1,60,N,Fail,-85.0,,True
23950,FFF,2013J,90901,M,South Region,HE Qualification,20-30%,35-55,0,120,N,Distinction,-32.0,,True
23951,FFF,2013J,91629,M,Wales,A Level or Equivalent,20-30%,0-35,2,60,Y,Fail,-44.0,,True
23952,FFF,2013J,95746,M,East Anglian Region,A Level or Equivalent,80-90%,0-35,1,60,N,Pass,-179.0,,True
23953,FFF,2013J,100064,F,West Midlands Region,A Level or Equivalent,0-10%,35-55,0,60,N,Pass,-136.0,,True
23954,FFF,2013J,100788,M,Scotland,HE Qualification,80-90%,0-35,0,90,N,Pass,-82.0,,True
23955,FFF,2013J,101217,M,London Region,A Level or Equivalent,40-50%,35-55,1,90,Y,Withdrawn,-121.0,93.0,False
23956,FFF,2013J,101420,M,Yorkshire Region,Lower Than A Level,30-40%,0-35,0,120,N,Pass,-132.0,,True
23957,FFF,2013J,102028,M,South Region,A Level or Equivalent,90-100%,35-55,1,60,N,Distinction,-122.0,,True
23958,FFF,2013J,102343,M,East Anglian Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,-66.0,,True
23959,FFF,2013J,104213,M,South West Region,A Level or Equivalent,70-80%,0-35,0,60,N,Distinction,-92.0,,True
23960,FFF,2013J,105629,M,South East Region,A Level or Equivalent,10-20,35-55,0,60,N,Pass,-58.0,,True
23961,FFF,2013J,106690,M,South Region,A Level or Equivalent,40-50%,35-55,0,120,Y,Withdrawn,-87.0,19.0,False
23962,FFF,2013J,107028,M,East Midlands Region,Lower Than A Level,10-20,0-35,0,90,N,Fail,-58.0,,True
23963,FFF,2013J,107084,M,London Region,HE Qualification,0-10%,35-55,0,200,N,Fail,-17.0,,True
23964,FFF,2013J,110881,F,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass,-16.0,,True
23965,FFF,2013J,111678,M,South West Region,Lower Than A Level,20-30%,35-55,0,60,N,Fail,-62.0,,True
23966,FFF,2013J,112010,M,Scotland,HE Qualification,20-30%,0-35,3,180,Y,Withdrawn,-32.0,-23.0,False
23967,FFF,2013J,113487,M,East Anglian Region,Lower Than A Level,40-50%,35-55,0,120,N,Withdrawn,-150.0,-10.0,False
23968,FFF,2013J,113565,M,Wales,A Level or Equivalent,80-90%,0-35,0,180,N,Pass,-31.0,,True
23969,FFF,2013J,114500,M,London Region,Lower Than A Level,50-60%,35-55,0,120,Y,Fail,-5.0,,True
23970,FFF,2013J,116290,M,South Region,A Level or Equivalent,50-60%,0-35,1,120,N,Fail,-128.0,,True
23971,FFF,2013J,116499,M,Scotland,Lower Than A Level,50-60%,35-55,0,60,N,Fail,-53.0,,True
23972,FFF,2013J,116529,M,West Midlands Region,Lower Than A Level,30-40%,0-35,0,120,N,Withdrawn,-103.0,158.0,False
23973,FFF,2013J,116631,M,West Midlands Region,Lower Than A Level,30-40%,0-35,1,150,N,Withdrawn,-103.0,45.0,False
23974,FFF,2013J,116808,M,Scotland,HE Qualification,80-90%,55<=,0,60,N,Distinction,-51.0,,True
23975,FFF,2013J,117232,M,Ireland,A Level or Equivalent,20-30%,0-35,0,90,N,Pass,-50.0,,True
23976,FFF,2013J,118050,M,East Anglian Region,Lower Than A Level,60-70%,0-35,0,90,N,Pass,-129.0,,True
23977,FFF,2013J,118176,M,North Region,Lower Than A Level,0-10%,0-35,0,60,N,Withdrawn,-107.0,17.0,False
23978,FFF,2013J,124379,F,Wales,A Level or Equivalent,40-50%,0-35,1,90,N,Fail,-22.0,,True
