code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,completion
factor,factor,factor,factor,factor,factor,factor,factor,numeric,numeric,factor,factor,numeric,numeric,factor
FFF,2013J,26247,M,South East Region,HE Qualification,80-90%,35-55,2,60,N,Fail,-47,500,TRUE
FFF,2013J,29335,M,West Midlands Region,Lower Than A Level,40-50%,0-35,0,60,N,Distinction,-31,500,TRUE
FFF,2013J,29769,M,East Midlands Region,A Level or Equivalent,40-50%,0-35,1,60,N,Fail,-32,500,TRUE
FFF,2013J,32221,M,South Region,A Level or Equivalent,60-70%,0-35,0,60,N,Fail,-32,500,TRUE
FFF,2013J,33600,F,London Region,A Level or Equivalent,40-50%,35-55,0,150,N,Withdrawn,-43,32,FALSE
FFF,2013J,34731,M,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Withdrawn,-38,136,FALSE
FFF,2013J,39882,F,Scotland,A Level or Equivalent,80-90%,0-35,0,120,N,Withdrawn,-32,-31,FALSE
FFF,2013J,42616,F,Scotland,Lower Than A Level,80-90%,35-55,0,60,N,Pass,-33,500,TRUE
FFF,2013J,43958,M,Wales,A Level or Equivalent,90-100%,35-55,0,60,N,Withdrawn,-167,149,FALSE
FFF,2013J,47924,M,West Midlands Region,Lower Than A Level,0-10%,35-55,0,60,N,Fail,-142,500,TRUE
FFF,2013J,49670,M,North Region,A Level or Equivalent,0-10%,0-35,0,60,N,Withdrawn,-54,6,FALSE
FFF,2013J,50487,F,East Anglian Region,Lower Than A Level,90-100%,0-35,1,60,N,Pass,-64,500,TRUE
FFF,2013J,51485,M,West Midlands Region,Lower Than A Level,Oct-20,0-35,0,120,N,Distinction,-18,500,TRUE
FFF,2013J,51576,F,London Region,Lower Than A Level,Oct-20,0-35,0,90,N,Distinction,-129,500,TRUE
FFF,2013J,53166,F,North Region,Lower Than A Level,40-50%,0-35,0,60,N,Pass,-75,500,TRUE
FFF,2013J,53626,M,Scotland,HE Qualification,30-40%,35-55,0,60,Y,Fail,-26,500,TRUE
FFF,2013J,54739,M,Yorkshire Region,Lower Than A Level,500,0-35,1,180,N,Withdrawn,-149,-26,FALSE
FFF,2013J,54882,M,Scotland,Lower Than A Level,30-40%,0-35,1,60,N,Fail,-130,500,TRUE
FFF,2013J,55013,M,North Region,A Level or Equivalent,Oct-20,0-35,0,120,N,Fail,-54,500,TRUE
FFF,2013J,55419,M,South Region,A Level or Equivalent,90-100%,0-35,0,90,N,Withdrawn,-39,124,FALSE
FFF,2013J,57844,M,South West Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,-59,500,TRUE
FFF,2013J,58077,M,North Region,Lower Than A Level,20-30%,0-35,1,60,N,Fail,-92,500,TRUE
FFF,2013J,58640,M,Scotland,A Level or Equivalent,50-60%,0-35,0,90,Y,Pass,-29,500,TRUE
FFF,2013J,63295,M,South Region,HE Qualification,90-100%,35-55,0,150,N,Pass,-159,500,TRUE
FFF,2013J,64388,M,East Midlands Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail,-150,500,TRUE
FFF,2013J,66451,M,Scotland,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,-17,500,TRUE
FFF,2013J,68107,F,London Region,A Level or Equivalent,50-60%,0-35,0,60,Y,Pass,-51,500,TRUE
